date,year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2021-01-01,2021,1,1,Category A,963,962,1280,40609
2021-01-01,2021,1,1,Category B,1023,1021,1396,49001
2021-01-01,2021,1,1,Category C,372,352,679,35900
2021-01-01,2021,1,1,Category D,529,498,692,7501
2021-01-01,2021,1,1,Category E,467,463,758,49489
2021-01-01,2021,1,2,Category A,966,946,1309,43501
2021-01-01,2021,1,2,Category B,1018,1018,1338,50100
2021-01-01,2021,1,2,Category C,381,378,671,40999
2021-01-01,2021,1,2,Category D,548,535,706,7589
2021-01-01,2021,1,2,Category E,466,458,705,51900
2021-02-01,2021,2,1,Category A,885,881,1098,42000
2021-02-01,2021,2,1,Category B,943,943,1107,46790
2021-02-01,2021,2,1,Category C,276,276,510,45001
2021-02-01,2021,2,1,Category D,572,572,705,7506
2021-02-01,2021,2,1,Category E,300,300,435,49778
2021-02-01,2021,2,2,Category A,903,900,1226,41001
2021-02-01,2021,2,2,Category B,942,938,1168,46002
2021-02-01,2021,2,2,Category C,259,223,424,40890
2021-02-01,2021,2,2,Category D,554,554,715,7500
2021-02-01,2021,2,2,Category E,304,302,503,47506
2021-03-01,2021,3,1,Category A,887,887,1175,41996
2021-03-01,2021,3,1,Category B,942,926,1121,45001
2021-03-01,2021,3,1,Category C,255,248,480,37513
2021-03-01,2021,3,1,Category D,542,524,707,7752
2021-03-01,2021,3,1,Category E,296,296,450,47001
2021-03-01,2021,3,2,Category A,886,879,1186,44589
2021-03-01,2021,3,2,Category B,946,932,1222,47001
2021-03-01,2021,3,2,Category C,292,286,507,39589
2021-03-01,2021,3,2,Category D,542,538,700,7791
2021-03-01,2021,3,2,Category E,298,291,430,47806
2021-04-01,2021,4,1,Category A,883,880,1212,45600
2021-04-01,2021,4,1,Category B,958,949,1524,52309
2021-04-01,2021,4,1,Category C,263,263,488,36134
2021-04-01,2021,4,1,Category D,560,524,735,8000
2021-04-01,2021,4,1,Category E,296,286,635,52200
2021-04-01,2021,4,2,Category A,890,883,1290,49640
2021-04-01,2021,4,2,Category B,956,949,1585,61190
2021-04-01,2021,4,2,Category C,262,256,441,44001
2021-04-01,2021,4,2,Category D,546,532,734,8000
2021-04-01,2021,4,2,Category E,303,295,633,62100
2021-05-01,2021,5,1,Category A,832,803,1100,48002
2021-05-01,2021,5,1,Category B,819,813,1244,60001
2021-05-01,2021,5,1,Category C,157,119,261,43001
2021-05-01,2021,5,1,Category D,650,639,901,8011
2021-05-01,2021,5,1,Category E,268,268,387,63002
2021-05-01,2021,5,2,Category A,835,834,1209,41801
2021-05-01,2021,5,2,Category B,817,817,1089,58089
2021-05-01,2021,5,2,Category C,164,83,315,41701
2021-05-01,2021,5,2,Category D,628,625,904,8701
2021-05-01,2021,5,2,Category E,266,260,400,62000
2021-06-01,2021,6,1,Category A,858,820,1439,48510
2021-06-01,2021,6,1,Category B,815,784,1107,60109
2021-06-01,2021,6,1,Category C,195,190,413,37002
2021-06-01,2021,6,1,Category D,626,624,776,8703
2021-06-01,2021,6,1,Category E,259,259,331,61112
2021-06-01,2021,6,2,Category A,830,823,1178,47821
2021-06-01,2021,6,2,Category B,809,799,983,56032
2021-06-01,2021,6,2,Category C,238,229,478,37000
2021-06-01,2021,6,2,Category D,618,577,864,8501
2021-06-01,2021,6,2,Category E,265,257,519,58001
2021-07-01,2021,7,1,Category A,867,864,1149,45001
2021-07-01,2021,7,1,Category B,840,840,1087,56100
2021-07-01,2021,7,1,Category C,162,159,340,38900
2021-07-01,2021,7,1,Category D,616,612,760,8502
2021-07-01,2021,7,1,Category E,259,257,416,57700
2021-07-01,2021,7,2,Category A,836,832,1240,47010
2021-07-01,2021,7,2,Category B,819,796,1107,59501
2021-07-01,2021,7,2,Category C,166,163,337,39523
2021-07-01,2021,7,2,Category D,655,649,863,8689
2021-07-01,2021,7,2,Category E,267,266,408,60001
2021-08-01,2021,8,1,Category A,805,804,1021,45189
2021-08-01,2021,8,1,Category B,771,751,980,56001
2021-08-01,2021,8,1,Category C,118,111,233,42589
2021-08-01,2021,8,1,Category D,449,449,667,8899
2021-08-01,2021,8,1,Category E,199,190,288,59599
2021-08-01,2021,8,2,Category A,806,806,1127,46689
2021-08-01,2021,8,2,Category B,794,793,1065,61001
2021-08-01,2021,8,2,Category C,118,113,220,40010
2021-08-01,2021,8,2,Category D,451,447,635,9500
2021-08-01,2021,8,2,Category E,198,197,408,64901
2021-09-01,2021,9,1,Category A,804,790,1124,47000
2021-09-01,2021,9,1,Category B,791,788,1080,62600
2021-09-01,2021,9,1,Category C,122,113,211,40001
2021-09-01,2021,9,1,Category D,445,445,562,9689
2021-09-01,2021,9,1,Category E,206,190,319,64700
2021-09-01,2021,9,2,Category A,803,795,1040,48000
2021-09-01,2021,9,2,Category B,772,768,1189,68310
2021-09-01,2021,9,2,Category C,120,110,203,39000
2021-09-01,2021,9,2,Category D,449,443,658,9089
2021-09-01,2021,9,2,Category E,198,186,400,70002
2021-10-01,2021,10,1,Category A,816,812,1077,47001
2021-10-01,2021,10,1,Category B,774,774,1130,70200
2021-10-01,2021,10,1,Category C,125,123,233,38890
