datekey,category_id,bidding_no,quota,bids_success,bids_received,premium
20210101,1,1,963,962,1280,40609
20210101,2,1,1023,1021,1396,49001
20210101,3,1,372,352,679,35900
20210101,4,1,529,498,692,7501
20210101,5,1,467,463,758,49489
20210101,1,2,966,946,1309,43501
20210101,2,2,1018,1018,1338,50100
20210101,3,2,381,378,671,40999
20210101,4,2,548,535,706,7589
20210101,5,2,466,458,705,51900
20210201,1,1,885,881,1098,42000
20210201,2,1,943,943,1107,46790
20210201,3,1,276,276,510,45001
20210201,4,1,572,572,705,7506
20210201,5,1,300,300,435,49778
20210201,1,2,903,900,1226,41001
20210201,2,2,942,938,1168,46002
20210201,3,2,259,223,424,40890
20210201,4,2,554,554,715,7500
20210201,5,2,304,302,503,47506
20210301,1,1,887,887,1175,41996
20210301,2,1,942,926,1121,45001
20210301,3,1,255,248,480,37513
20210301,4,1,542,524,707,7752
20210301,5,1,296,296,450,47001
20210301,1,2,886,879,1186,44589
20210301,2,2,946,932,1222,47001
20210301,3,2,292,286,507,39589
20210301,4,2,542,538,700,7791
20210301,5,2,298,291,430,47806
20210401,1,1,883,880,1212,45600
20210401,2,1,958,949,1524,52309
20210401,3,1,263,263,488,36134
20210401,4,1,560,524,735,8000
20210401,5,1,296,286,635,52200
20210401,1,2,890,883,1290,49640
20210401,2,2,956,949,1585,61190
20210401,3,2,262,256,441,44001
20210401,4,2,546,532,734,8000
20210401,5,2,303,295,633,62100
20210501,1,1,832,803,1100,48002
20210501,2,1,819,813,1244,60001
20210501,3,1,157,119,261,43001
20210501,4,1,650,639,901,8011
20210501,5,1,268,268,387,63002
20210501,1,2,835,834,1209,41801
20210501,2,2,817,817,1089,58089
20210501,3,2,164,83,315,41701
20210501,4,2,628,625,904,8701
20210501,5,2,266,260,400,62000
20210601,1,1,858,820,1439,48510
20210601,2,1,815,784,1107,60109
20210601,3,1,195,190,413,37002
20210601,4,1,626,624,776,8703
20210601,5,1,259,259,331,61112
20210601,1,2,830,823,1178,47821
20210601,2,2,809,799,983,56032
